德文,英文,Bescheuert,Stupid
英文,中文 (繁體),refactor,重構
英文,中文 (繁體),Scaffolds,鷹架
英文,中文 (繁體),cognitive,認知的
英文,中文 (繁體),relentless,狠
英文,中文 (繁體),crusade,運動
偵測語言,中文 (繁體),amenity,便利設施
偵測語言,中文 (繁體),secretions,分泌物
偵測語言,中文 (繁體),mast,桅杆
偵測語言,中文 (繁體),pivot,樞
偵測語言,中文 (繁體),pitch,瀝青
偵測語言,中文 (繁體),summon,召喚
偵測語言,中文 (繁體),bespoke,客製化
偵測語言,中文 (繁體),Düstere Prognose.,預測不樂觀。
英文,中文 (繁體),screeching,尖叫
偵測語言,中文 (繁體),insurgents,叛亂分子
偵測語言,中文 (繁體),infiltration,浸潤
偵測語言,中文 (繁體),süchtig,上癮
英文,中文 (繁體),household chores,家務
偵測語言,中文 (繁體),villain,惡棍
偵測語言,中文 (繁體),trophy,杯
英文,中文 (繁體),intriguing,有趣的
英文,中文 (繁體),empirical,經驗
英文,中文 (繁體),anti-scald,防燙傷
中文 (繁體),英文,更簡易地,More easily
偵測語言,中文 (繁體),podium,頒獎台
英文,中文 (繁體),muster,鼓起
英文,中文 (繁體),rancher,牧場主人
英文,中文 (繁體),Camouflage,偽裝
英文,中文 (繁體),Prudent,謹慎
英文,中文 (繁體),Trauma,創傷
德文,中文 (繁體),Fort,堡
德文,中文 (繁體),Correspondent,記者
德文,中文 (繁體),Expat Exodus,外籍人士外流
德文,中文 (繁體),Abschaffen,取消
德文,中文 (繁體),Abschafen,取消
英文,中文 (繁體),Embark,登船
英文,中文 (繁體),cartel,卡特爾
偵測語言,中文 (繁體),Sedation,鎮靜
偵測語言,中文 (繁體),Sedative,鎮靜劑
德文,英文,Bad mantel,bathrobe
偵測語言,中文 (繁體),Ornament,裝飾品
英文,中文 (繁體),peptide,勝肽
德文,中文 (繁體),wut,憤怒
英文,中文 (繁體),ruthless,無情
英文,中文 (繁體),Ruthless,無情
英文,中文 (繁體),complicit,同謀
中文 (繁體),英文,悄悄走近,Stalk
英文,中文 (繁體),resilience,彈性
英文,中文 (繁體),collectively,集體地
英文,中文 (繁體),resonate with you,與你產生共鳴
英文,中文 (繁體),to jot down,記下來
英文,中文 (繁體),feast,盛宴
中文 (繁體),德文,車子開在時速大概90到100之間，車子就會自己震動。,"Wenn das Auto mit einer Geschwindigkeit von etwa 90 bis 100 fährt, vibriert das Auto von selbst."
英文,中文 (繁體),chamfer,倒角
英文,中文 (繁體),incisors,門牙
英文,中文 (繁體),protuberance,突起
英文,中文 (繁體),triage,分類
英文,中文 (繁體),Relevance means that your brand identity resonates with your audience's needs,相關性意味著您的品牌形象與受眾的需求產生共鳴
英文,中文 (繁體),typography,版式
英文,中文 (繁體),proposition,主張
英文,中文 (繁體),engaging,吸引人的
英文,中文 (繁體),agitate,激盪
英文,中文 (繁體),"unmet 
incorporated","未滿足的
合併"
中文 (繁體),德文,功德主,Herr der Verdienste
中文 (繁體),德文,冤親債主,feindlicher Gläubiger
英文,中文 (繁體),destined,注定的
英文,中文 (繁體),Tandem,串聯
英文,中文 (繁體),evangelist,傳道者
英文,中文 (繁體),Cohort,佇列
偵測語言,中文 (繁體),Jenseits,超過
英文,中文 (繁體),hustle,喧囂
英文,中文 (繁體),grumpy,脾氣暴躁
英文,中文 (繁體),haggling,討價還價
英文,中文 (繁體),a signature velvet coat,標誌性天鵝絨外套
英文,中文 (繁體),bustling,繁華
德文,中文 (繁體),"Du bist aufgeschlossen, extrovertiert und scheust dich nicht vor neuen Aufgaben.",您有開放的胸懷，外向，並且不羞於接受新任務。
德文,英文,"Du bist aufgeschlossen, extrovertiert und scheust dich nicht vor neuen Aufgaben.","You are open -minded, extroverted and do not shy out new tasks."
中文 (繁體),德文,打勾符號,Zeckenzeichen
英文,中文 (繁體),Reservoir,水庫
中文 (繁體),英文,痰,phlegm
英文,中文 (繁體),Nebulizer,噴霧器
英文,中文 (繁體),resusitator,復甦器
德文,中文 (繁體),Wasserstoff,氫
德文,中文 (繁體),windeln,尿布
德文,中文 (繁體),vergewissern sich,確保
英文,中文 (繁體),hustlers,騙子
英文,中文 (繁體),bloat,膨脹
德文,中文 (繁體),Verschwörung,陰謀
英文,中文 (繁體),desecration,褻瀆
英文,德文,x ray,Röntgen
德文,英文,zickig,bitchy
德文,英文,Brutzeln,Sizzle
德文,英文,rücksichtnahme,thoughtfulness
英文,中文 (繁體),insurgents,叛亂分子
